test,instance,passenger_count,id_instance,demand_size,group_id,max_vehicle_capacity,fleet_size,total_capacity,user_base,objective_function,run_time,fleet_capacity_obj_val,total_delay_obj_val,fleet_capacity_obj_mip_gap,total_delay_obj_mip_gap,capacity_01,capacity_02,capacity_03,capacity_04,pk_delay_mean_A,pk_delay_mean_B,pk_delay_mean_C,pk_delay_sum_A,pk_delay_sum_B,pk_delay_sum_C,ride_delay_mean_A,ride_delay_mean_B,ride_delay_mean_C,ride_delay_sum_A,ride_delay_sum_B,ride_delay_sum_C,tier_1,tier_1_A,tier_1_B,tier_1_C,tier_1_pk_delay_sum,tier_1_pk_delay_sum_A,tier_1_pk_delay_sum_B,tier_1_pk_delay_sum_C,tier_1_ride_delay_sum,tier_1_ride_delay_sum_A,tier_1_ride_delay_sum_B,tier_1_ride_delay_sum_C,tier_2,tier_2_A,tier_2_B,tier_2_C,tier_2_pk_delay_sum,tier_2_pk_delay_sum_A,tier_2_pk_delay_sum_B,tier_2_pk_delay_sum_C,tier_2_ride_delay_sum,tier_2_ride_delay_sum_A,tier_2_ride_delay_sum_B,tier_2_ride_delay_sum_C,total,total_A,total_B,total_C,total_delay,total_pk_delay,total_pk_delay_A,total_pk_delay_B,total_pk_delay_C,total_ride_delay,total_ride_delay_A,total_ride_delay_B,total_ride_delay_C
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,56.24374771118164,28,2488,0.0001,0.0001,0,0,0,7,138.0,177.85714285714286,573.0,276.0,1245.0,573.0,0.0,56.285714285714285,0.0,0.0,394.0,0.0,9.0,2.0,6.0,1.0,1679.0,276.0,830.0,573.0,394.0,0.0,394.0,0.0,1.0,0.0,1.0,0.0,415.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,7.0,1.0,2488.0,2094.0,276.0,1245.0,573.0,394.0,0.0,394.0,0.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,3.1553688049316406,32,1940,0.0001,0.0001,0,0,0,8,116.0,136.14285714285714,573.0,232.0,953.0,573.0,0.0,26.0,0.0,0.0,182.0,0.0,10.0,2.0,7.0,1.0,1758.0,232.0,953.0,573.0,182.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,7.0,1.0,1940.0,1758.0,232.0,953.0,573.0,182.0,0.0,182.0,0.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__001__maxpcount_01,maxpcount_01,001,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,9509.081287384033,20,3518,0.0001,0.0001,0,0,0,5,116.0,310.85714285714283,584.0,232.0,2176.0,584.0,0.0,75.14285714285714,0.0,0.0,526.0,0.0,10.0,2.0,7.0,1.0,2992.0,232.0,2176.0,584.0,526.0,0.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,7.0,1.0,3518.0,2992.0,232.0,2176.0,584.0,526.0,0.0,526.0,0.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__002__maxpcount_01,maxpcount_01,002,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,86.07200050354004,24,1973,0.0001,0.0001,0,0,0,6,64.0,148.71428571428572,420.0,128.0,1041.0,420.0,0.0,50.857142857142854,28.0,0.0,356.0,28.0,9.0,2.0,6.0,1.0,1242.0,128.0,694.0,420.0,384.0,0.0,356.0,28.0,1.0,0.0,1.0,0.0,347.0,0.0,347.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,7.0,1.0,1973.0,1589.0,128.0,1041.0,420.0,384.0,0.0,356.0,28.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__002__maxpcount_01,maxpcount_01,002,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,0.5049991607666016,28,1655,0.0001,0.0001,0,0,0,7,64.0,137.85714285714286,420.0,128.0,965.0,420.0,0.0,16.285714285714285,28.0,0.0,114.0,28.0,10.0,2.0,7.0,1.0,1513.0,128.0,965.0,420.0,142.0,0.0,114.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,7.0,1.0,1655.0,1513.0,128.0,965.0,420.0,142.0,0.0,114.0,28.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__002__maxpcount_01,maxpcount_01,002,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,4717.527708053589,16,4225,0.0001,0.0001,0,0,0,4,240.0,320.7142857142857,930.0,480.0,2245.0,930.0,0.0,81.42857142857143,0.0,0.0,570.0,0.0,10.0,2.0,7.0,1.0,3655.0,480.0,2245.0,930.0,570.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,7.0,1.0,4225.0,3655.0,480.0,2245.0,930.0,570.0,0.0,570.0,0.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__003__maxpcount_01,maxpcount_01,003,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,0.19494056701660156,32,1695,0.0001,0.0001,0,0,0,8,131.0,170.8,317.0,524.0,854.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,4.0,1.0,1295.0,524.0,454.0,317.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,400.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.0,1.0,1695.0,1695.0,524.0,854.0,317.0,0.0,0.0,0.0,0.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__003__maxpcount_01,maxpcount_01,003,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,0.06598091125488281,36,1333,0.0001,0.0001,0,0,0,9,131.0,98.4,317.0,524.0,492.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.0,1.0,1333.0,524.0,492.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.0,1.0,1333.0,1333.0,524.0,492.0,317.0,0.0,0.0,0.0,0.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__003__maxpcount_01,maxpcount_01,003,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,30.232927322387695,24,2538,0.0001,0.0001,0,0,0,6,131.0,339.4,317.0,524.0,1697.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.0,1.0,2538.0,524.0,1697.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.0,1.0,2538.0,2538.0,524.0,1697.0,317.0,0.0,0.0,0.0,0.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__004__maxpcount_01,maxpcount_01,004,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,284.13581466674805,24,2181,0.0001,0.0001,0,0,0,6,86.5,254.0,226.75,173.0,1016.0,907.0,0.0,21.25,0.0,0.0,85.0,0.0,9.0,2.0,3.0,4.0,1712.0,173.0,632.0,907.0,85.0,0.0,85.0,0.0,1.0,0.0,1.0,0.0,384.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,4.0,2181.0,2096.0,173.0,1016.0,907.0,85.0,0.0,85.0,0.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__004__maxpcount_01,maxpcount_01,004,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,2.7137298583984375,24,2249,0.0001,0.0001,0,0,0,6,86.5,232.0,226.75,173.0,928.0,907.0,0.0,51.75,8.5,0.0,207.0,34.0,10.0,2.0,4.0,4.0,2008.0,173.0,928.0,907.0,241.0,0.0,207.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,4.0,2249.0,2008.0,173.0,928.0,907.0,241.0,0.0,207.0,34.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__004__maxpcount_01,maxpcount_01,004,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,18070.101707458496,20,11633,0.0001,0.0001,0,0,0,5,222.5,388.5,1200.0,445.0,1554.0,4800.0,0.0,8.5,75.0,0.0,34.0,300.0,10.0,2.0,4.0,4.0,6799.0,445.0,1554.0,4800.0,334.0,0.0,34.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,4.0,7133.0,6799.0,445.0,1554.0,4800.0,334.0,0.0,34.0,300.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__005__maxpcount_01,maxpcount_01,005,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,213.41752433776855,24,3602,0.0001,0.0001,0,0,0,6,126.0,226.16666666666666,349.0,378.0,1357.0,349.0,0.0,127.33333333333333,16.0,0.0,764.0,16.0,9.0,3.0,5.0,1.0,1623.0,378.0,896.0,349.0,597.0,0.0,581.0,16.0,1.0,0.0,1.0,0.0,461.0,0.0,461.0,0.0,183.0,0.0,183.0,0.0,10.0,3.0,6.0,1.0,2864.0,2084.0,378.0,1357.0,349.0,780.0,0.0,764.0,16.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__005__maxpcount_01,maxpcount_01,005,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,2.8122806549072266,28,1430,0.0001,0.0001,0,0,0,7,55.666666666666664,134.16666666666666,251.0,167.0,805.0,251.0,0.0,31.833333333333332,16.0,0.0,191.0,16.0,10.0,3.0,6.0,1.0,1223.0,167.0,805.0,251.0,207.0,0.0,191.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,6.0,1.0,1430.0,1223.0,167.0,805.0,251.0,207.0,0.0,191.0,16.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__BB__A-16_B-68_C-16__005__maxpcount_01,maxpcount_01,005,10,010_BB,4,10,40,BB,fleet_capacity__total_delay,9290.525276184082,20,2367,0.0001,0.0001,0,0,0,5,55.666666666666664,290.3333333333333,251.0,167.0,1742.0,251.0,0.0,31.833333333333332,16.0,0.0,191.0,16.0,10.0,3.0,6.0,1.0,2160.0,167.0,1742.0,251.0,207.0,0.0,191.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,6.0,1.0,2367.0,2160.0,167.0,1742.0,251.0,207.0,0.0,191.0,16.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__001__maxpcount_01,maxpcount_01,001,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,24.162416458129883,24,2812,0.0001,0.0001,0,0,0,6,113.33333333333333,192.5,356.4,340.0,385.0,1782.0,0.0,72.5,32.0,0.0,145.0,160.0,9.0,3.0,2.0,4.0,1886.0,340.0,385.0,1161.0,205.0,0.0,145.0,60.0,1.0,0.0,0.0,1.0,621.0,0.0,0.0,621.0,100.0,0.0,0.0,100.0,10.0,3.0,2.0,5.0,2812.0,2507.0,340.0,385.0,1782.0,305.0,0.0,145.0,160.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__001__maxpcount_01,maxpcount_01,001,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,16.27562713623047,24,2997,0.0001,0.0001,0,0,0,6,113.33333333333333,192.5,325.8,340.0,385.0,1629.0,0.0,82.5,95.6,0.0,165.0,478.0,10.0,3.0,2.0,5.0,2354.0,340.0,385.0,1629.0,643.0,0.0,165.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,5.0,2997.0,2354.0,340.0,385.0,1629.0,643.0,0.0,165.0,478.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__001__maxpcount_01,maxpcount_01,001,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,122.21421813964844,16,5044,0.0001,0.0001,0,0,0,4,113.33333333333333,352.5,732.2,340.0,705.0,3661.0,0.0,82.5,34.6,0.0,165.0,173.0,10.0,3.0,2.0,5.0,4706.0,340.0,705.0,3661.0,338.0,0.0,165.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,5.0,5044.0,4706.0,340.0,705.0,3661.0,338.0,0.0,165.0,173.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__002__maxpcount_01,maxpcount_01,002,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,18001.729055404663,20,3148,0.0001,0.0001,0,0,0,5,,100.5,309.375,0.0,201.0,2475.0,,65.0,42.75,0.0,130.0,342.0,9.0,0.0,2.0,7.0,2033.0,0.0,201.0,1832.0,472.0,0.0,130.0,342.0,1.0,0.0,0.0,1.0,643.0,0.0,0.0,643.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,8.0,3148.0,2676.0,0.0,201.0,2475.0,472.0,0.0,130.0,342.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__002__maxpcount_01,maxpcount_01,002,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,827.8161144256592,20,3206,0.0001,0.0001,0,0,0,5,,100.5,278.5,0.0,201.0,2228.0,,149.0,59.875,0.0,298.0,479.0,10.0,0.0,2.0,8.0,2429.0,0.0,201.0,2228.0,777.0,0.0,298.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,8.0,3206.0,2429.0,0.0,201.0,2228.0,777.0,0.0,298.0,479.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__002__maxpcount_01,maxpcount_01,002,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,18006.636781692505,16,11009,0.0001,0.0001,0,0,0,4,,366.0,722.125,0.0,732.0,5777.0,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,8.0,6509.0,0.0,732.0,5777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,8.0,6509.0,6509.0,0.0,732.0,5777.0,0.0,0.0,0.0,0.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__003__maxpcount_01,maxpcount_01,003,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,65.8148365020752,28,2368,0.0001,0.0001,0,0,0,7,114.5,155.0,271.0,229.0,310.0,1626.0,0.0,0.0,33.833333333333336,0.0,0.0,203.0,9.0,2.0,2.0,5.0,1558.0,229.0,310.0,1019.0,203.0,0.0,0.0,203.0,1.0,0.0,0.0,1.0,607.0,0.0,0.0,607.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,6.0,2368.0,2165.0,229.0,310.0,1626.0,203.0,0.0,0.0,203.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__003__maxpcount_01,maxpcount_01,003,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,2.9234142303466797,28,2451,0.0001,0.0001,0,0,0,7,114.5,155.0,284.8333333333333,229.0,310.0,1709.0,0.0,0.0,33.833333333333336,0.0,0.0,203.0,10.0,2.0,2.0,6.0,2248.0,229.0,310.0,1709.0,203.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,6.0,2451.0,2248.0,229.0,310.0,1709.0,203.0,0.0,0.0,203.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__003__maxpcount_01,maxpcount_01,003,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,18001.326036453247,16,4918,0.0001,0.0001,0,0,0,4,114.5,377.0,622.0,229.0,754.0,3732.0,0.0,0.0,33.833333333333336,0.0,0.0,203.0,10.0,2.0,2.0,6.0,4715.0,229.0,754.0,3732.0,203.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,6.0,4918.0,4715.0,229.0,754.0,3732.0,203.0,0.0,0.0,203.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__004__maxpcount_01,maxpcount_01,004,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,11020.6835231781,24,2648,0.0001,0.0001,0,0,0,6,138.0,103.33333333333333,366.6666666666667,138.0,310.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,6.0,2648.0,138.0,310.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,6.0,2648.0,2648.0,138.0,310.0,2200.0,0.0,0.0,0.0,0.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__004__maxpcount_01,maxpcount_01,004,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,95.66300010681152,24,2648,0.0001,0.0001,0,0,0,6,138.0,103.33333333333333,366.6666666666667,138.0,310.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,6.0,2648.0,138.0,310.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,6.0,2648.0,2648.0,138.0,310.0,2200.0,0.0,0.0,0.0,0.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__004__maxpcount_01,maxpcount_01,004,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,18008.57605934143,20,5117,0.0001,0.0001,0,0,0,5,339.0,380.6666666666667,455.8333333333333,339.0,1142.0,2735.0,0.0,100.0,0.16666666666666666,0.0,300.0,1.0,10.0,1.0,3.0,6.0,4216.0,339.0,1142.0,2735.0,301.0,0.0,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,6.0,4517.0,4216.0,339.0,1142.0,2735.0,301.0,0.0,300.0,1.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__005__maxpcount_01,maxpcount_01,005,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,383.8491668701172,24,2107,0.0001,0.0001,0,0,0,6,104.0,170.66666666666666,248.5,104.0,512.0,1491.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,5.0,1468.0,104.0,512.0,852.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,639.0,0.0,0.0,639.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,6.0,2107.0,2107.0,104.0,512.0,1491.0,0.0,0.0,0.0,0.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__005__maxpcount_01,maxpcount_01,005,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,0.9630966186523438,28,1570,0.0001,0.0001,0,0,0,7,104.0,170.66666666666666,159.0,104.0,512.0,954.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,6.0,1570.0,104.0,512.0,954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,6.0,1570.0,1570.0,104.0,512.0,954.0,0.0,0.0,0.0,0.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__010__CC__A-16_B-16_C-68__005__maxpcount_01,maxpcount_01,005,10,010_CC,4,10,40,CC,fleet_capacity__total_delay,9479.180852890015,16,4541,0.0001,0.0001,0,0,0,4,346.0,213.66666666666666,592.3333333333334,346.0,641.0,3554.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,6.0,4541.0,346.0,641.0,3554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,6.0,4541.0,4541.0,346.0,641.0,3554.0,0.0,0.0,0.0,0.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__015__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,15,015_AA,4,15,60,AA,fleet_capacity__total_delay,18000.709548950195,32,18847,0.0001,0.0001,0,0,0,8,100.66666666666667,154.0,487.7142857142857,604.0,308.0,3414.0,0.0,287.0,74.57142857142857,0.0,574.0,522.0,15.0,6.0,2.0,7.0,4326.0,604.0,308.0,3414.0,1096.0,0.0,574.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,2.0,7.0,5422.0,4326.0,604.0,308.0,3414.0,1096.0,0.0,574.0,522.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__015__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,15,015_AA,4,15,60,AA,fleet_capacity__total_delay,2586.2443618774414,32,4181,0.0001,0.0001,0,0,0,8,100.66666666666667,154.0,466.0,604.0,308.0,3262.0,0.0,0.0,1.0,0.0,0.0,7.0,15.0,6.0,2.0,7.0,4174.0,604.0,308.0,3262.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,2.0,7.0,4181.0,4174.0,604.0,308.0,3262.0,7.0,0.0,0.0,7.0
baseline_2,baseline_2__manhattan-island-new-york-city-new-york-usa__015__AA__A-68_B-16_C-16__001__maxpcount_01,maxpcount_01,001,15,015_AA,4,15,60,AA,fleet_capacity__total_delay,18001.177839279175,24,22778,0.0001,0.0001,0,0,0,6,183.66666666666666,600.0,1125.142857142857,1102.0,1200.0,7876.0,0.0,150.0,42.857142857142854,0.0,300.0,300.0,15.0,6.0,2.0,7.0,10178.0,1102.0,1200.0,7876.0,600.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,2.0,7.0,10778.0,10178.0,1102.0,1200.0,7876.0,600.0,0.0,300.0,300.0
slevels,slevels__manhattan-island-new-york-city-new-york-usa__015__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,15,015_AA,4,15,60,AA,fleet_capacity__total_delay,2.9700546264648438,48,3309,0.0001,0.0001,0,0,0,12,104.4,147.75,574.0,1044.0,591.0,574.0,0.0,100.0,0.0,0.0,400.0,0.0,14.0,10.0,3.0,1.0,1834.0,1044.0,216.0,574.0,153.0,0.0,153.0,0.0,1.0,0.0,1.0,0.0,375.0,0.0,375.0,0.0,247.0,0.0,247.0,0.0,15.0,10.0,4.0,1.0,2609.0,2209.0,1044.0,591.0,574.0,400.0,0.0,400.0,0.0
baseline_1,baseline_1__manhattan-island-new-york-city-new-york-usa__015__AA__A-68_B-16_C-16__002__maxpcount_01,maxpcount_01,002,15,015_AA,4,15,60,AA,fleet_capacity__total_delay,0.21442413330078125,52,1798,0.0001,0.0001,0,0,0,13,104.4,57.75,523.0,1044.0,231.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,4.0,1.0,1798.0,1044.0,231.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,4.0,1.0,1798.0,1798.0,1044.0,231.0,523.0,0.0,0.0,0.0,0.0
